,type,country,sex_,species_,fatal_(y/n),date,new_sex,new_type,year,age,new_age
399,Unprovoked,usa,M,unspecified,N,27-Jun-2015,M,Unprovoked,2015.0,18.0,18.0
400,Unprovoked,south africa,M,white_shark,N,27-Jun-2015,M,Unprovoked,2015.0,19.0,19.0
401,Invalid,usa,F,unspecified,,26-Jun-2015,F,Invalid,2015.0,27.6,27.32915451895044
402,Unprovoked,south africa,M,white_shark,N,26-Jun-2015,M,Unprovoked,2015.0,23.0,23.0
403,Unprovoked,usa,M,unspecified,N,26-Jun-2015,M,Unprovoked,2015.0,43.0,43.0
404,Provoked,australia,M,unspecified,N,Reported 25-Jun-2015,M,Provoked,2015.0,19.0,19.0
405,Unprovoked,usa,M,unspecified,N,25-Jun-2015,M,Unprovoked,2015.0,47.0,47.0
406,Unprovoked,usa,M,tiger_shark,N,24-Jun-2015,M,Unprovoked,2015.0,6.0,6.0
407,Invalid,australia,F,white_shark,N,24-Jun-2015,F,Invalid,2015.0,37.0,37.0
408,Unprovoked,usa,M,unspecified,N,23-Jun-2015,M,Unprovoked,2015.0,9.0,9.0
409,Unprovoked,puerto rico,M,unspecified,N,19-Jun-2015,M,Unprovoked,2015.0,36.0,36.0
410,Unprovoked,usa,M,unspecified,N,17-Jun-2015,M,Unprovoked,2015.0,10.0,10.0
411,Unprovoked,usa,M,unspecified,N,14-Jun-2015,M,Unprovoked,2015.0,16.0,16.0
412,Unprovoked,usa,F,unspecified,N,14-Jun-2015,F,Unprovoked,2015.0,12.0,12.0
413,Unprovoked,usa,F,unspecified,N,13-Jun-2015,F,Unprovoked,2015.0,27.6,27.32915451895044
414,Unprovoked,usa,F,unspecified,N,11-Jun-2015,F,Unprovoked,2015.0,13.0,13.0
415,Unprovoked,usa,M,unspecified,N,07-Jun-2015,M,Unprovoked,2015.0,11.0,11.0
416,Unprovoked,usa,F,unspecified,N,05-Jun-2015,F,Unprovoked,2015.0,17.0,17.0
417,Unprovoked,reunion,M,unspecified,N,01-Jun-2015,M,Unprovoked,2015.0,47.0,47.0
418,Unprovoked,usa,F,unspecified,N,29-May-2015,F,Unprovoked,2015.0,14.0,14.0
419,Unprovoked,usa,F,unspecified,N,29-May-2015,F,Unprovoked,2015.0,19.0,19.0
420,Unprovoked,french polynesia,M,unspecified,N,25-May-2015,M,Unprovoked,2015.0,19.0,19.0
421,Unprovoked,usa,F,unspecified,N,24-May-2015,F,Unprovoked,2015.0,13.0,13.0
422,Unprovoked,usa,M,unspecified,N,20-May2015,M,Unprovoked,2015.0,18.0,18.0
423,Unprovoked,usa,M,unspecified,N,15-May-2015,M,Unprovoked,2015.0,30.0,30.0
424,Unprovoked,new caledonia,M,unspecified,Y,09-May-2015,M,Unprovoked,2015.0,50.0,50.0
425,Unprovoked,usa,M,unspecified,N,07-May-2015,M,Unprovoked,2015.0,27.6,27.32915451895044
426,Unprovoked,australia,M,white_shark,N,03-May-2015,M,Unprovoked,2015.0,27.6,27.32915451895044
427,Unprovoked,south africa,M,white_shark,N,02-May-2015,M,Unprovoked,2015.0,29.0,29.0
428,Unprovoked,usa,F,unspecified,Y,29-Apr-2015,F,Unprovoked,2015.0,65.0,65.0
429,Unprovoked,usa,M,unspecified,N,26-Apr-2015,M,Unprovoked,2015.0,63.0,63.0
430,Unprovoked,australia,M,white_shark,N,25-Apr-2015,M,Unprovoked,2015.0,26.0,26.0
431,Unprovoked,australia,M,white_shark,N,24-Jun-2015,M,Unprovoked,2015.0,71.0,71.0
432,Unprovoked,usa,M,unspecified,N,13-Apr-2015,M,Unprovoked,2015.0,48.0,48.0
433,Unprovoked,reunion,M,unspecified,Y,12-Apr-2015,M,Unprovoked,2015.0,13.0,13.0
434,Unprovoked,australia,M,unspecified,N,11-Apr-2015,M,Unprovoked,2015.0,27.6,27.32915451895044
435,Unprovoked,usa,M,unspecified,N,03-Apr-2015,M,Unprovoked,2015.0,70.0,70.0
436,Invalid,italy,M,unspecified,,29-Mar-2015,M,Invalid,2015.0,43.0,43.0
437,Invalid,brazil,M,unspecified,,31-Mar-2015,M,Invalid,2015.0,23.0,23.0
438,Boating,south africa,M,white_shark,N,26-Mar-2015,M,Boating,2015.0,36.0,36.0
439,Unprovoked,egypt,M,unspecified,Y,21-Mar-2015,M,Unprovoked,2015.0,52.0,52.0
440,Unprovoked,usa,M,tiger_shark,N,18-Mar-2015,M,Unprovoked,2015.0,58.0,58.0
441,Unprovoked,french polynesia,M,unspecified,N,16-Mar-2015,M,Unprovoked,2015.0,9.0,9.0
442,Boating,australia,M,unspecified,N,11-Mar-2015,M,Boating,2015.0,27.6,27.32915451895044
443,Provoked,mexico,M,unspecified,N,10-Mar-2015,M,Provoked,2015.0,36.0,36.0
444,Unprovoked,french polynesia,M,unspecified,N,07-Mar-2015,M,Unprovoked,2015.0,18.0,18.0
445,Boating,atlantic ocean,,white_shark,N,15-Feb-2015,M,Boating,2015.0,27.6,27.32915451895044
446,Unprovoked,reunion,F,tiger_shark,Y,14-Feb-2015,F,Unprovoked,2015.0,22.0,22.0
447,Unprovoked,australia,M,unspecified,Y,09-Feb-2015,M,Unprovoked,2015.0,41.0,41.0
448,Unprovoked,australia,M,unspecified,N,08-Feb-2015,M,Unprovoked,2015.0,35.0,35.0
449,Unprovoked,australia,M,unspecified,N,05-Feb-2015,M,Unprovoked,2015.0,27.6,27.32915451895044
450,Boating,australia,M,unspecified,N,30-Jan-2015,M,Boating,2015.0,57.0,57.0
451,Provoked,usa,M,unspecified,N,27-Jan-2015,M,Provoked,2015.0,20.0,20.0
452,Unprovoked,australia,M,unspecified,N,24-Jan-2015,M,Unprovoked,2015.0,27.6,27.32915451895044
453,Unprovoked,south africa,M,unspecified,N,23-Jan-2015,M,Unprovoked,2015.0,24.0,24.0
454,Boating,usa,M,white_shark,N,19-Jan-2015,M,Boating,2015.0,27.6,27.32915451895044
455,Invalid,australia,F,unspecified,,19-Jan-2015,F,Invalid,2015.0,27.6,27.32915451895044
456,Boating,australia,M,unspecified,N,17-Jan-2015,M,Boating,2015.0,27.6,27.32915451895044
457,Unprovoked,australia,M,unspecified,N,16-Jan-2015,M,Unprovoked,2015.0,17.0,17.0
458,Invalid,usa,M,unspecified,,08-Jan-2015,M,Invalid,2015.0,38.0,38.0
459,Unprovoked,bahamas,F,white_shark,N,06-Jan-2015,F,Unprovoked,2015.0,34.0,34.0
460,Unprovoked,south africa,M,unspecified,N,03-Jan-2015,M,Unprovoked,2015.0,15.0,15.0
461,Unprovoked,usa,M,unspecified,N,01-Jan-2015,M,Unprovoked,2015.0,12.0,12.0
462,Unprovoked,australia,,unspecified,N,29-Dec-2014,M,Unprovoked,2014.0,27.6,27.32915451895044
463,Unprovoked,australia,M,white_shark,Y,29-Dec-2014,M,Unprovoked,2014.0,17.0,17.0
464,Sea Disaster,greece,,unspecified,N,28-Dec-2014,M,Sea Disaster,2014.0,27.6,27.32915451895044
465,Invalid,south africa,,unspecified,,28-Dec-2014,M,Invalid,2014.0,27.6,27.32915451895044
466,Unprovoked,usa,M,white_shark,N,28-Dec-2014,M,Unprovoked,2014.0,50.0,50.0
467,Provoked,australia,M,unspecified,N,28-Dec-2014,M,Provoked,2014.0,40.0,40.0
468,Unprovoked,japan,M,unspecified,N,Reported 23-Dec-2014,M,Unprovoked,2014.0,27.6,27.32915451895044
469,Unprovoked,australia,M,tiger_shark,Y,15-Dec-2014,M,Unprovoked,2014.0,17.0,17.0
470,Provoked,spain,M,unspecified,N,Reported 03-Dec-2014,M,Provoked,2014.0,27.6,27.32915451895044
471,Unprovoked,australia,M,unspecified,N,29-Nov-2014,M,Unprovoked,2014.0,13.0,13.0
472,Provoked,mauritius,M,unspecified,Y,20-Nov-2014,M,Provoked,2014.0,39.0,39.0
473,Boating,australia,M,white_shark,N,19-Nov-2014,M,Boating,2014.0,27.6,27.32915451895044
474,Boating,usa,,white_shark,N,Reported 17-Nov-2014,M,Boating,2014.0,27.6,27.32915451895044
475,Unprovoked,usa,M,unspecified,N,16-Nov-2014,M,Unprovoked,2014.0,44.0,44.0
476,Unprovoked,usa,M,unspecified,N,13-Nov-2014,M,Unprovoked,2014.0,53.0,53.0
477,Unprovoked,australia,M,unspecified,N,10-Nov-2014,M,Unprovoked,2014.0,27.6,27.32915451895044
478,Unprovoked,usa,M,unspecified,N,08-Nov-2014,M,Unprovoked,2014.0,18.0,18.0
479,Unprovoked,usa,F,tiger_shark,N,31-Oct-2014,F,Unprovoked,2014.0,34.0,34.0
480,Provoked,australia,M,unspecified,N,29-Oct-2014,M,Provoked,2014.0,20.0,20.0
481,Unprovoked,usa,F,tiger_shark,N,22-Oct-2014,F,Unprovoked,2014.0,27.6,27.32915451895044
482,Unprovoked,usa,M,unspecified,N,20-Oct-2014,M,Unprovoked,2014.0,27.6,27.32915451895044
483,Boating,usa,F,unspecified,N,19-Oct-2014,F,Boating,2014.0,27.6,27.32915451895044
484,Unprovoked,usa,M,unspecified,N,18-Oct-2014,M,Unprovoked,2014.0,27.6,27.32915451895044
485,Unprovoked,australia,F,unspecified,N,17-Oct-2014,F,Unprovoked,2014.0,13.0,13.0
486,Unprovoked,usa,F,unspecified,N,14-Oct-2014,F,Unprovoked,2014.0,7.0,7.0
487,Unprovoked,usa,F,unspecified,N,12-Oct-2014,F,Unprovoked,2014.0,27.6,27.32915451895044
488,Boating,australia,M,unspecified,N,11-Oct-2014,M,Boating,2014.0,27.6,27.32915451895044
489,Unprovoked,usa,M,unspecified,N,05-Oct-2014,M,Unprovoked,2014.0,29.0,29.0
490,Unprovoked,usa,F,unspecified,N,07-Oct-2014,F,Unprovoked,2014.0,40.0,40.0
491,Unprovoked,usa,M,unspecified,N,05-Oct-2014,M,Unprovoked,2014.0,15.0,15.0
492,Boating,usa,M,white_shark,N,03-Oct-2014,M,Boating,2014.0,27.6,27.32915451895044
493,Boating,usa,M,white_shark,N,03-Oct-2014,M,Boating,2014.0,27.6,27.32915451895044
494,Unprovoked,usa,M,unspecified,N,02-Oct-2014,M,Unprovoked,2014.0,28.0,28.0
