,year,type,country,sex_,age,species_,fatal_(y/n),date
5211,1922,Unprovoked,jamaica,M,19,unspecified,Y,24-May 1922
5212,1922,Unprovoked,south africa,M,18,white_shark,N,06-May-1922
5213,1922,Unprovoked,australia,M,,unspecified,Y,26-Apr-1922
5214,1922,Unprovoked,jamaica,M,,unspecified,N,20-Mar-1922
5215,1922,Unprovoked,jamaica,F,14,unspecified,Y,13-Mar-1922
5216,1922,Unprovoked,australia,M,21,white_shark,Y,02-Mar-1922
5217,1922,Invalid,australia,M,,unspecified,,Reported 02-Feb-1922
5218,1922,Unprovoked,australia,M,18,white_shark,Y,04-Feb-1922
5219,1922,Unprovoked,iraq,M,,unspecified,Y,Reported 28-Jan-1922
5220,1922,Unprovoked,australia,M,54,unspecified,Y,15-Jan-1922
5221,1922,Unprovoked,australia,M,,grey_shark,N,13-Jan-1922
5222,1922,Unprovoked,australia,M,26,unspecified,Y,04-Jan-1922
5223,1921,Unprovoked,australia,M,20,unspecified,N,11-Dec-1921
5224,1921,Unprovoked,australia,M,8,unspecified,Y,27-Nov-1921
5225,1921,Unprovoked,australia,M,40,unspecified,N,27-Nov-1921
5226,1921,Unprovoked,fiji,,,unspecified,Y,Reported 15-Nov-1921
5227,1921,Unprovoked,australia,M,,unspecified,N,12-Oct-1921
5228,1921,Unprovoked,australia,M,22,unspecified,Y,04-Oct-1921
5229,1921,Provoked,england,M,,unspecified,N,Sep-1921
5230,1921,Unprovoked,australia,M,,unspecified,N,Reported 29-Aug-1929
5231,1921,Unprovoked,philippines,M,21,unspecified,Y,28-Aug-1921
5232,1921,Unprovoked,cuba,M,,unspecified,Y,21-Jul-1921
5233,1921,Invalid,philippines,,,unspecified,,Reported 11-Jan-1921
5234,1920,Unprovoked,australia,M,,unspecified,N,29-Nov-1920
5235,1921,Unprovoked,haiti,M,,unspecified,Y,22-Aug-1921
5236,1920,Unprovoked,australia,M,,unspecified,N,22-Nov-1920
5237,1920,Sea Disaster,philippines,M,,unspecified,Y,04-Nov-1920
5238,1920,Invalid,usa,M,30,unspecified,,14-Jul-1920
5239,1920,Unprovoked,australia,M,,unspecified,N,Reported 06-Jul-1920
5240,1920,Unprovoked,usa,M,13,unspecified,N,29-Jun-1920
5241,1920,Provoked,canada,,,unspecified,N,27-Jun-1920
5242,1920,Unprovoked,australia,M,20,unspecified,N,08-Mar-1920
5243,1920,Unprovoked,australia,M,,unspecified,N,Reported 24-Jan-1920
5244,1920,Unprovoked,south africa,F,18,unspecified,N,03-Feb-1920
5245,1920,Unprovoked,australia,M,,unspecified,Y,Reported 24-Jan-1920
5246,1920,Unprovoked,australia,M,12,unspecified,Y,15-Jan-1920
5247,1920,Unprovoked,jamaica,M,,unspecified,Y,1920s
5248,1920,Unprovoked,south africa,M,12,unspecified,N,1920
5249,1919,Unprovoked,australia,M,29,unspecified,N,Reported 30-Dec-1919
5250,1919,Unprovoked,australia,M,47,unspecified,Y,07-Dec-1919
5251,1919,Unprovoked,australia,M,,unspecified,N,18-Nov-1919
5252,1919,Unprovoked,costa rica,M,,unspecified,Y,12-Sep-1919
5253,1919,Unprovoked,usa,M,,unspecified,N,10-Aug-1919
5254,1919,Unprovoked,usa,M,,unspecified,N,29-May-1919
5255,1919,Unprovoked,usa,M,,unspecified,Y,06-Apr-1919
5256,1919,Invalid,australia,M,,unspecified,UNKNOWN,16-Mar-1919
5257,1919,Unprovoked,australia,M,,unspecified,N,17-Jan-1919
5258,1919,Unprovoked,new zealand,F,,unspecified,N,15-Jan-1919
5259,1919,Unprovoked,australia,M,13,unspecified,Y,09-Jan-1919
5260,1919,Unprovoked,australia,M,38,unspecified,Y,05-Jan-1919
5261,1919,Boating,italy,M,,unspecified,N,Reported to have taken place in 1919
5262,1919,Unprovoked,usa,F,,unspecified,N,1919
5263,1918,Unprovoked,usa,M,,unspecified,Y,Nov-1918
5264,1918,Sea Disaster,san domingo,M,,tiger_shark,Y,Nov-1918
5265,1918,Unprovoked,australia,M,22,unspecified,Y,19-Sep-1918
5266,1918,Unprovoked,australia,M,,unspecified,N,22-Mar-1918
5267,1918,Unprovoked,australia,M,,unspecified,N,1918
5268,1917,Unprovoked,australia,M,,unspecified,N,15-Dec-1917
5269,1917,Unprovoked,mozambique,M,,unspecified,Y,Nov-1917
5270,1917,Unprovoked,usa,M,,unspecified,N,21-Sep-1917
5271,1917,Provoked,usa,M,,unspecified,N,09-Sep-1917
5272,1917,Unprovoked,panama,M,,unspecified,Y,Sep-1917
5273,1917,Unprovoked,usa,M,,unspecified,Y,18-Jul-1917
5274,1917,Sea Disaster,ireland,M,,unspecified,Y,15-Jul-1917
5275,1917,Unprovoked,usa,M,,unspecified,N,03-Jun-1917
5276,1917,Unprovoked,philippines,M,,unspecified,Y,31-May-1917
5277,1917,Unprovoked,kuwait,M,,unspecified,N,Reported 05-May-1917
5278,1917,Unprovoked,libya,M,,unspecified,N,1917
5279,1916,Unprovoked,australia,M,25,unspecified,N,30-Dec-1916
5280,1916,Unprovoked,australia,M,41,unspecified,Y,08-Dec-1916
5281,1916,Unprovoked,australia,F,,unspecified,N,08-Dec-1916
5282,1916,Provoked,panama,M,,unspecified,N,15-Nov-1916
5283,1916,Unprovoked,australia,M,,unspecified,Y,10-Nov-1916
5284,1916,Unprovoked,australia,M,27,unspecified,Y,09-Nov-1916
5285,1916,Provoked,usa,M,,unspecified,Y,11-Oct-1916
5286,1916,Unprovoked,usa,M,,unspecified,N, 24-Aug-1916
5287,1916,Unprovoked,usa,M,,unspecified,N,26-Jul-1916
5288,1916,Invalid,usa,F,,unspecified,,13-Jul-1916
5289,1916,Unprovoked,usa,M,,unspecified,N,13-Jul-1916
5290,1916,Unprovoked,usa,M,12,unspecified,N,12-Jul-1916
5291,1916,Unprovoked,usa,M,24,unspecified,Y,12-Jul-1916
